----------------------
| Opcode | Arguments |
|     adc|        a,a|
|     adc|        a,b|
|     adc|        a,c|
|     adc|        a,d|
|     adc|        a,e|
|     adc|        a,h|
|     adc|        a,l|
|     adc|     a,(hl)|
|     adc|     a,[hl]|
|     adc|        a,*|
|     add|        a,a|
|     add|        a,b|
|     add|        a,c|
|     add|        a,d|
|     add|        a,e|
|     add|        a,h|
|     add|        a,l|
|     add|     a,(hl)|
|     add|     a,[hl]|
|     add|        a,*|
|     add|      hl,bc|
|     add|      hl,de|
|     add|      hl,hl|
|     add|      hl,sp|
|     add|       sp,*|
|     and|          a|
|     and|          b|
|     and|          c|
|     and|          d|
|     and|          e|
|     and|          h|
|     and|          l|
|     and|       (hl)|
|     and|       [hl]|
|     and|          *|
|     bit|        n,a|
|     bit|        n,b|
|     bit|        n,c|
|     bit|        n,d|
|     bit|        n,e|
|     bit|        n,h|
|     bit|        n,l|
|     bit|     n,(hl)|
|     bit|     n,[hl]|
|    call|     nz,dir|
|    call|      z,dir|
|    call|     nc,dir|
|    call|      c,dir|
|    call|        dir|
|     ccf|          -|
|     cpl|          -|
|      cp|          a|
|      cp|          b|
|      cp|          c|
|      cp|          d|
|      cp|          e|
|      cp|          h|
|      cp|          l|
|      cp|       (hl)|
|      cp|       [hl]|
|      cp|          *|
|     daa|          -|
|     dec|          a|
|     dec|          b|
|     dec|          c|
|     dec|          d|
|     dec|          e|
|     dec|          h|
|     dec|          l|
|     dec|       (hl)|
|     dec|       [hl]|
|     dec|         bc|
|     dec|         de|
|     dec|         hl|
|     dec|         sp|
|      di|          -|
|      ei|          -|
|    halt|          -|
|     inc|          a|
|     inc|          b|
|     inc|          c|
|     inc|          d|
|     inc|          e|
|     inc|          h|
|     inc|          l|
|     inc|       (hl)|
|     inc|       [hl]|
|     inc|         bc|
|     inc|         de|
|     inc|         hl|
|     inc|         sp|
|      jp|       (hl)|
|      jp|       [hl]|
|      jp|     nz,dir|
|      jp|      z,dir|
|      jp|     nc,dir|
|      jp|      c,dir|
|      jp|        dir|
|      jr|     nz,dir|
|      jr|      z,dir|
|      jr|     nc,dir|
|      jr|      c,dir|
|      jr|        dir|
|      ld| (ff00+c),a|
|      ld| [ff00+c],a|
|      ld|      (c),a|
|      ld|      [c],a|
|      ld|    (hli),a|
|      ld|    [hli],a|
|      ld|    (hl+),a|
|      ld|    [hl+],a|
|     ldi|     (hl),a|
